Orbital Location,Satellite,Transponder,L-band Freq,C-band Freq,Standard,Modulation,Coding,Symbol Rate,Threshold Es/No,Polarization
-103,SES-3,2,1410,3740,DVB-S2,8PSK,R5/6,30,9.4,V
-103,SES-3,8,1290,3860,DVB-S2,8PSK,R5/6,30,9.4,V
-103,SES-3,12,1207,3943,DVB-S2,8PSK,R3/4,25,7.9,V
-103,SES-3,14,1178,3972,DVB-S,QPSK,R5/6,14.8,9.4,V
-103,SES-3,16,1130,4020,DVB-S2,8PSK,R3/4,30,7.9,V
-103,SES-3,18,1090,4060,DVB-S2,8PSK,R5/6,30,7.9,V
-103,SES-3,20,1050,4100,DVB-S2,8PSK,R3/4,30,7.9,V
-103,SES-3,22,1010,4140,DVB-S2,8PSK,R5/6,30,9.4,V
-103,SES-3,24,970,4180,DVB-S2,8PSK,R5/6,30,9.4,V
-103,SES-3,7,1310,3840,DVB-S2,8PSK,R5/6,30,9.4,H
-103,SES-3,9,1350,3880,DVB-S2,8PSK,R5/6,28.8,9.4,H
-103,SES-3,13,1190,3960,DVB-S2,8PSK,R5/6,30,9.4,H
-103,SES-3,15,1150,4000,DVB-S,QPSK,R3/4,29.2689,6.9,H
-103,SES-3,17,1110,4040,DVB-S2,8PSK,R2/3,30,6.9,H
-103,SES-3,19,1070,4080,DVB-S2,8PSK,R5/6,30,9.4,H
-103,SES-3,21,1030,4120,DVB-S2,8PSK,R3/4,30,7.9,H
-101,SES-1,7,1310,3840,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,9,1270,3880,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,11,1230,3920,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,15,1145.25,4004.75,DVB-S,QPSK,R3/4,4.44,6.9,V
-101,SES-1,17A,1120,4030,DVB-S,QPSK,R7/8,12.4,8.5,V
-101,SES-1,17B,1102,4048,DVB-S2,8PSK,R5/6,15.8,9.4,V
-101,SES-1,19,1070,4080,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,8,1290,3860,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,10,1250,3900,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,14,1170,3980,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,20,1050,4100,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,22,1010,4140,DVB-S,QPSK,R3/4,29.268,6.9,H
-105,SES-11,11,1230,3920,DVB-S2,8PSK,R5/6,30,9.4,V
-105,SES-11,17A,1121,4029,DVB-S,QPSK,R3/4,9.26,6.9,V
-105,SES-11,17B,1107,4043,DVB-S,QPSK,R3/4,10.127,6.9,V
-105,SES-11,17C,1095.25,4054.75,DVB-S2,8PSK,R5/6,5.16,9.4,V
-105,SES-11,21A,1040.7,4109.3,DVB-S,QPSK,R3/4,7.136,6.9,V
-105,SES-11,21B,1024.35,4125.65,DVB-S,QPSK,R3/4,2.894,6.9,V
-105,SES-11,21C,1017.5,4132.5,DVB-S,QPSK,R3/4,5,6.9,V
-105,SES-11,23A,976.5,4173.5,DVB-S,QPSK,R2/3,3.333,5.9,V
-105,SES-11,23B,982.15,4167.85,DVB-S,QPSK,R3/4,4.074,6.9,V
-105,SES-11,18,1090,4060,DVB-S2,8PSK,R5/6,30,9.4,H
-105,SES-11,20,1050,4100,DVB-S2,8PSK,R5/6,30,9.4,H
-105,SES-11,22,1010,4140,DVB-S2,8PSK,R5/6,30,9.4,H
-131,AMC-11,4,1370,3780,DVB-S2,8PSK,R5/6,30,9.4,H
-131,AMC-11,12,1210,3940,DVB-S2,8PSK,R2/3,30,5.9,H
-131,AMC-11,16,1130,4020,DVB-S2,8PSK,R5/6,34.3,9.4,H
-131,AMC-11,18,1090,4060,DVB-S2,8PSK,R5/6,34.3,9.4,H
-131,AMC-11,22,1010,4140,DVB-S2,8PSK,R5/6,34.3,9.4,H
-131,AMC-11,24,970,4180,DVB-S2,8PSK,R5/6,30,9.4,H
-131,AMC-11,15,1150,4000,DVB-S2,8PSK,R5/6,34.3,9.4,V
-131,AMC-11,17,1110,4040,DVB-S2,8PSK,R5/6,34.3,9.4,V
-131,AMC-11,21,1030,4120,DVB-S2,8PSK,R5/6,34.3,9.4,V
-131,AMC-11,23,990,4160,DVB-S2,8PSK,R5/6,30,9.4,V
